URL,Status Code
https://www.c-span.org/classroom/document/?7541,307
http://www.c-span.org/landmarkcases,301
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5698,200
https://www.c-span.org/video/?438740-1%2Fqa-noah-feldman,301
https://www.c-span.org/classroom/document/?7573,200
https://www.c-span.org/networks/,200
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7422,200
https://www.c-span.org/classroom/search/?topicids%5B%5D=76,200
https://www.c-span.org/video/?438507-1%2Fquestion-time,301
https://www.c-span.org/about/history/,200
https://www.c-span.org/classroom/search/?topicids%5B%5D=47,200
https://www.c-span.org/classroom/document/?7574,200
https://www.c-span.org/video/?c4714207%2Fdoug-mills-switches-sony-a9,301
https://www.c-span.org/about/milestones/,200
https://www.c-span.org/landmarkcases,302
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=30&sort=Trending,200
https://www.c-span.org/video/?441115-6%2Fwashington-journal-arkansas-governor-asa-hutchinson-discusses-key-public-policy-issues,301
https://www.c-span.org/classroom/document/?7593,200
https://www.c-span.org/video/?c4714645%2Fmepp-crisis,301
https://www.c-span.org/series/?campaign2016,200
https://www.c-span.org/video/?c4714590%2Frk-mulvaney-2-14,301
https://www.c-span.org/executiveBranch/,200
https://www.c-span.org/classroom/register/,200
https://www.c-span.org/video/?c4714674%2Fcasey-mnuchin,301
https://www.c-span.org/video/?441242-101%2Fjosh-gerstein-russian-meddling-indictment,301
https://www.c-span.org/video/?437854-1%2Fqa-hendrik-meijer,301
https://www.c-span.org/video/?c4714307%2Fsen-grassley-iowa-questions-dir-mulvaney-ifr,301
https://www.c-span.org/classroom/search/?topicids%5B%5D=77,200
https://www.c-span.org/classroom/document/?7726,200
https://www.c-span.org/video/?c4714649%2F180214-hbc-mick-mulvaney,301
https://www.c-span.org/video/?436553-1%2Fmodern-richmond-virginia-politics,301
https://www.c-span.org/classroom/search/?show100&topicids%5B%5D=59,200
https://www.c-span.org/video/?440432-6%2Fwashington-journal-lt-gov-casey-cagle-discusses-key-issues-georgia,301
https://www.c-span.org/series/?historyBookshelf,200
https://www.c-span.org/classroom/search/?topicids%5B%5D=48,200
https://www.c-span.org/video/?c4714567%2Freed-question-insulin-pricing,301
https://www.c-span.org/controllers/follow/?tag%2F5709,302
https://www.c-span.org/video/?c4715045%2Fwyden-idaho,301
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=5698,200
https://www.c-span.org/search/?cspan_created%5B%5D=0&edate&sdate&searchtype=Clips&sort=Newest,200
https://www.c-span.org/video/?c4714574%2Fbudget-director-military-parade-cost-10-30-million,301
https://www.c-span.org/video/?c4714402%2Fsen-merkley,301
https://www.c-span.org/video/?439275-7%2F1968-north-korean-capture-uss-pueblo,301
https://www.c-span.org/classroom/search/?topicids%5B%5D=74,200
